Date,Series_title_1,Data_value
2006-06-01,"Oranges, 1kg",3.11
2006-07-01,"Oranges, 1kg",2.78
2006-08-01,"Oranges, 1kg",2.43
2006-09-01,"Oranges, 1kg",2.42
2006-10-01,"Oranges, 1kg",3.04
2006-11-01,"Oranges, 1kg",3.24
2006-12-01,"Oranges, 1kg",3.27
2007-01-01,"Oranges, 1kg",3.18
2007-02-01,"Oranges, 1kg",3.74
2007-03-01,"Oranges, 1kg",4.21
2007-04-01,"Oranges, 1kg",4.16
2007-05-01,"Oranges, 1kg",4.29
2007-06-01,"Oranges, 1kg",3.6
2007-07-01,"Oranges, 1kg",3.14
2007-08-01,"Oranges, 1kg",2.62
2007-09-01,"Oranges, 1kg",2.47
2007-10-01,"Oranges, 1kg",2.5
2007-11-01,"Oranges, 1kg",2.93
2007-12-01,"Oranges, 1kg",3.28
2008-01-01,"Oranges, 1kg",3.16
2008-02-01,"Oranges, 1kg",3.08
2008-03-01,"Oranges, 1kg",3.0
2008-04-01,"Oranges, 1kg",2.67
2008-05-01,"Oranges, 1kg",2.66
2008-06-01,"Oranges, 1kg",3.43
2008-07-01,"Oranges, 1kg",3.19
2008-08-01,"Oranges, 1kg",2.6
2008-09-01,"Oranges, 1kg",2.73
2008-10-01,"Oranges, 1kg",3.32
2008-11-01,"Oranges, 1kg",3.62
2008-12-01,"Oranges, 1kg",3.71
2009-01-01,"Oranges, 1kg",4.48
2009-02-01,"Oranges, 1kg",4.34
2009-03-01,"Oranges, 1kg",4.06
2009-04-01,"Oranges, 1kg",4.25
2009-05-01,"Oranges, 1kg",4.21
2009-06-01,"Oranges, 1kg",3.57
2009-07-01,"Oranges, 1kg",3.21
2009-08-01,"Oranges, 1kg",2.7
2009-09-01,"Oranges, 1kg",2.62
2009-10-01,"Oranges, 1kg",2.72
2009-11-01,"Oranges, 1kg",2.96
2009-12-01,"Oranges, 1kg",3.24
2010-01-01,"Oranges, 1kg",3.47
2010-02-01,"Oranges, 1kg",3.25
2010-03-01,"Oranges, 1kg",3.21
2010-04-01,"Oranges, 1kg",3.18
2010-05-01,"Oranges, 1kg",3.45
2010-06-01,"Oranges, 1kg",3.4
2010-07-01,"Oranges, 1kg",3.11
2010-08-01,"Oranges, 1kg",2.61
2010-09-01,"Oranges, 1kg",2.52
2010-10-01,"Oranges, 1kg",2.84
2010-11-01,"Oranges, 1kg",3.58
2010-12-01,"Oranges, 1kg",3.76
2011-01-01,"Oranges, 1kg",3.72
2011-02-01,"Oranges, 1kg",3.51
2011-03-01,"Oranges, 1kg",2.98
2011-04-01,"Oranges, 1kg",3.23
2011-05-01,"Oranges, 1kg",3.54
2011-06-01,"Oranges, 1kg",3.2
2011-07-01,"Oranges, 1kg",2.65
2011-08-01,"Oranges, 1kg",2.36
2011-09-01,"Oranges, 1kg",2.64
2011-10-01,"Oranges, 1kg",2.89
2011-11-01,"Oranges, 1kg",2.97
2011-12-01,"Oranges, 1kg",3.42
2012-01-01,"Oranges, 1kg",3.28
2012-02-01,"Oranges, 1kg",3.15
2012-03-01,"Oranges, 1kg",2.94
2012-04-01,"Oranges, 1kg",3.16
2012-05-01,"Oranges, 1kg",3.32
2012-06-01,"Oranges, 1kg",3.31
2012-07-01,"Oranges, 1kg",2.72
2012-08-01,"Oranges, 1kg",2.54
2012-09-01,"Oranges, 1kg",2.5
2012-10-01,"Oranges, 1kg",2.57
2012-11-01,"Oranges, 1kg",2.85
2012-12-01,"Oranges, 1kg",3.31
2013-01-01,"Oranges, 1kg",2.99
2013-02-01,"Oranges, 1kg",2.78
2013-03-01,"Oranges, 1kg",2.83
2013-04-01,"Oranges, 1kg",2.75
2013-05-01,"Oranges, 1kg",3.18
2013-06-01,"Oranges, 1kg",3.31
2013-07-01,"Oranges, 1kg",2.69
2013-08-01,"Oranges, 1kg",2.69
2013-09-01,"Oranges, 1kg",2.68
2013-10-01,"Oranges, 1kg",2.76
2013-11-01,"Oranges, 1kg",3.1
2013-12-01,"Oranges, 1kg",3.51
2014-01-01,"Oranges, 1kg",3.47
2014-02-01,"Oranges, 1kg",3.48
2014-03-01,"Oranges, 1kg",3.63
2014-04-01,"Oranges, 1kg",3.88
2014-05-01,"Oranges, 1kg",3.79
2014-06-01,"Oranges, 1kg",3.45
2014-07-01,"Oranges, 1kg",3.02
2014-08-01,"Oranges, 1kg",2.36
2014-09-01,"Oranges, 1kg",2.43
2014-10-01,"Oranges, 1kg",2.52
2014-11-01,"Oranges, 1kg",2.62
2014-12-01,"Oranges, 1kg",3.09
2015-01-01,"Oranges, 1kg",3.51
2015-02-01,"Oranges, 1kg",3.63
2015-03-01,"Oranges, 1kg",3.6
2015-04-01,"Oranges, 1kg",3.67
2015-05-01,"Oranges, 1kg",3.56
2015-06-01,"Oranges, 1kg",3.57
2015-07-01,"Oranges, 1kg",3.02
2015-08-01,"Oranges, 1kg",2.81
2015-09-01,"Oranges, 1kg",2.86
2015-10-01,"Oranges, 1kg",2.75
2015-11-01,"Oranges, 1kg",3.11
2015-12-01,"Oranges, 1kg",3.43
2016-01-01,"Oranges, 1kg",3.9
