Date,Series_title_1,Data_value
2024-03-01,"Oranges, 1kg",6.65
2024-04-01,"Oranges, 1kg",6.65
2024-05-01,"Oranges, 1kg",6.88
2024-06-01,"Oranges, 1kg",4.99
2024-07-01,"Oranges, 1kg",4.44
2024-08-01,"Oranges, 1kg",3.99
2024-09-01,"Oranges, 1kg",4.18
2024-03-01,"Bananas, 1kg",3.77
2024-04-01,"Bananas, 1kg",3.74
2024-05-01,"Bananas, 1kg",3.72
2024-06-01,"Bananas, 1kg",3.69
2024-07-01,"Bananas, 1kg",3.66
2024-08-01,"Bananas, 1kg",3.61
2024-09-01,"Bananas, 1kg",3.63
2024-03-01,"Apples, 1kg",3.9
2024-04-01,"Apples, 1kg",3.85
2024-05-01,"Apples, 1kg",3.52
2024-06-01,"Apples, 1kg",3.38
2024-07-01,"Apples, 1kg",3.73
2024-08-01,"Apples, 1kg",3.61
2024-09-01,"Apples, 1kg",4.13
2024-03-01,"Kiwifruit, 1kg",9.19
2024-04-01,"Kiwifruit, 1kg",4.41
2024-05-01,"Kiwifruit, 1kg",3.59
2024-06-01,"Kiwifruit, 1kg",3.4
2024-07-01,"Kiwifruit, 1kg",3.42
2024-08-01,"Kiwifruit, 1kg",4.29
2024-09-01,"Kiwifruit, 1kg",5.18
2024-03-01,"Sultanas (supermarket only), 375g",3.16
2024-04-01,"Sultanas (supermarket only), 375g",3.23
2024-05-01,"Sultanas (supermarket only), 375g",3.23
2024-06-01,"Sultanas (supermarket only), 375g",3.3
2024-07-01,"Sultanas (supermarket only), 375g",3.31
2024-08-01,"Sultanas (supermarket only), 375g",3.4
2024-09-01,"Sultanas (supermarket only), 375g",3.45
2024-03-01,"Peaches - canned (supermarket only), 410g",2.08
2024-04-01,"Peaches - canned (supermarket only), 410g",2.03
2024-05-01,"Peaches - canned (supermarket only), 410g",1.98
2024-06-01,"Peaches - canned (supermarket only), 410g",2.0
2024-07-01,"Peaches - canned (supermarket only), 410g",2.0
2024-08-01,"Peaches - canned (supermarket only), 410g",2.0
2024-09-01,"Peaches - canned (supermarket only), 410g",2.06
2024-03-01,"Lettuce, 1kg",5.14
2024-04-01,"Lettuce, 1kg",4.96
2024-05-01,"Lettuce, 1kg",4.95
2024-06-01,"Lettuce, 1kg",4.93
2024-07-01,"Lettuce, 1kg",4.86
2024-08-01,"Lettuce, 1kg",5.12
2024-09-01,"Lettuce, 1kg",4.35
2024-03-01,"Broccoli, 1kg",8.75
2024-04-01,"Broccoli, 1kg",6.53
2024-05-01,"Broccoli, 1kg",6.07
2024-06-01,"Broccoli, 1kg",6.43
2024-07-01,"Broccoli, 1kg",6.14
2024-08-01,"Broccoli, 1kg",6.27
2024-09-01,"Broccoli, 1kg",5.75
2024-03-01,"Cabbage, 1kg",3.27
2024-04-01,"Cabbage, 1kg",3.25
2024-05-01,"Cabbage, 1kg",3.07
2024-06-01,"Cabbage, 1kg",2.68
2024-07-01,"Cabbage, 1kg",2.53
2024-08-01,"Cabbage, 1kg",2.82
2024-09-01,"Cabbage, 1kg",2.97
2024-03-01,"Tomatoes, 1kg",5.88
2024-04-01,"Tomatoes, 1kg",6.54
2024-05-01,"Tomatoes, 1kg",6.65
2024-06-01,"Tomatoes, 1kg",10.13
2024-07-01,"Tomatoes, 1kg",11.44
2024-08-01,"Tomatoes, 1kg",12.67
2024-09-01,"Tomatoes, 1kg",13.29
2024-03-01,"Carrots, 1kg",2.8
